"LIMIT_BAL","SEX","EDU_GRAD_SCHOOL","EDU_UNIVERSITY","EDU_HIGH_SCHOOL","EDU_OTHER","MARITAL_MARRIED","MARITAL_SINGLE","MARITAL_OTHER","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","DELTA_1","DELTA_2","DELTA_3","DELTA_4","DELTA_5","DELTA_6","default payment next month"
20000,0,1,0,0,0,0,1,0,24,0,0,2,2,2,2,12176,18010,15928,18338,16255,19104,1
320000,0,1,0,0,0,1,0,0,49,0,0,0,-1,-1,-1,242928,236536,118723,50074,-189743,145599,0
360000,1,1,0,0,0,1,0,0,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0
180000,1,1,0,0,0,0,1,0,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0
130000,1,0,0,1,0,0,1,0,39,0,0,0,0,0,-1,35358,26151,23489,18616,10872,-32834,0
120000,1,0,1,0,0,1,0,0,39,-1,-1,-1,-1,-1,-1,0,0,316,-632,316,316,1
70000,1,0,1,0,0,0,1,0,26,2,0,0,2,2,2,39080,38863,45020,40405,46905,44192,1
450000,1,1,0,0,0,1,0,0,40,-2,-2,-2,-2,-2,-2,-13916,17947,913,560,0,-1128,1
90000,0,1,0,0,0,0,1,0,23,0,0,0,-1,0,0,-1013,7070,-5398,4198,4315,6292,0
50000,0,0,0,1,0,0,1,0,23,0,0,0,0,0,0,45647,40384,35022,27535,28767,29049,0
60000,0,1,0,0,0,0,1,0,27,1,-2,-1,-1,-1,-1,-109,-1425,259,-557,127,-1189,1
50000,1,0,0,1,0,0,1,0,30,0,0,0,0,0,0,21241,14838,16163,16378,17931,18605,0
50000,1,0,0,1,0,1,0,0,47,-1,-1,-1,-1,-1,-1,-2765,-6,1372,-28390,30173,257,0
50000,0,1,0,0,0,0,1,0,26,0,0,0,0,0,0,13829,15075,16496,16907,16775,11400,0
230000,1,1,0,0,0,0,1,0,27,-1,-1,-1,-1,-1,-1,-624,3984,-2073,1032,-22985,36923,0
50000,0,0,1,0,0,0,1,0,33,2,0,0,0,0,0,28800,28118,21102,21734,22217,22964,1
100000,0,1,0,0,0,0,1,0,32,0,0,0,0,0,0,90013,80560,79578,77754,75503,73085,0
500000,1,0,1,0,0,1,0,0,54,-2,-2,-2,-2,-2,-2,6777,-18675,15201,-63918,70458,-42601,0
500000,0,1,0,0,0,1,0,0,58,-2,-2,-2,-2,-2,-2,8703,-26172,27950,3180,-5293,4525,0
160000,0,1,0,0,0,0,1,0,30,-1,-1,-2,-2,-2,-1,30134,-527,-923,-1488,-2280,-1884,0
280000,0,0,1,0,0,1,0,0,40,0,0,0,0,0,0,178477,173268,174122,164010,167501,170676,0
60000,1,0,1,0,0,0,1,0,22,0,0,0,0,0,-1,13554,8288,9025,6026,-76006,18043,0
50000,0,1,0,0,0,0,1,0,25,1,-1,-1,-2,-2,-2,-780,780,0,0,0,0,1
280000,0,1,0,0,0,0,1,0,31,-1,-1,2,-1,0,-1,-8577,9075,-5335,1976,8451,8696,0
360000,0,1,0,0,0,0,1,0,33,0,0,0,0,0,0,208668,214296,200895,439859,167969,175224,0
70000,1,1,0,0,0,0,1,0,25,0,0,0,0,0,0,64521,62499,59907,61199,61918,63470,0
10000,0,0,1,0,0,0,1,0,22,0,0,0,0,0,0,377,257,5003,3276,2670,3951,0
140000,1,0,1,0,0,1,0,0,37,0,0,0,0,0,0,56504,58544,59925,60280,63079,66802,0
40000,1,1,0,0,0,0,1,0,30,0,0,0,2,0,0,15927,16295,25921,23209,23636,29197,0
210000,0,1,0,0,0,0,1,0,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,1
20000,1,1,0,0,0,0,1,0,22,0,0,2,-1,0,0,11028,16484,-941,16007,16675,0,1
150000,1,0,0,0,0,0,1,0,46,0,0,-1,0,0,-2,3450,1864,1170,1170,0,0,1
380000,0,0,1,0,0,0,1,0,32,-1,-1,-1,-1,-1,-1,861,6402,-9543,20167,-26,3622,0
20000,0,1,0,0,0,0,1,0,24,0,0,0,0,0,0,16129,17164,18772,18937,19568,18994,0
70000,0,0,0,1,0,0,1,0,42,1,2,2,2,2,0,37042,33071,36355,39423,37159,37862,1
100000,1,0,0,1,0,0,0,1,43,0,0,0,0,0,0,59559,49557,42324,37619,34262,32258,0
310000,1,0,1,0,0,1,0,0,49,-2,-2,-2,-2,-2,-2,5590,267,-3585,7641,3080,464,0
180000,1,1,0,0,0,0,1,0,25,1,2,0,0,0,0,40102,39732,40996,41748,42630,43697,0
150000,1,1,0,0,0,0,1,0,29,2,0,0,0,0,0,44624,33275,30385,25018,19042,11540,0
500000,1,1,0,0,0,1,0,0,45,-2,-2,-2,-2,-2,-2,-1735,3478,162,-151,-2379,2530,0
180000,1,0,0,1,0,1,0,0,34,0,0,0,-1,-1,-1,7886,14293,941,6463,-9679,6321,0
180000,1,0,1,0,0,1,0,0,34,0,0,0,0,0,0,167803,166144,167055,163794,127386,126118,0
200000,1,1,0,0,0,0,1,0,34,-1,3,2,2,2,2,1587,1098,82,1166,-500,1414,0
400000,1,0,1,0,0,1,0,0,29,0,0,0,0,0,0,383134,383828,374205,348199,344656,341089,0
500000,1,0,0,1,0,1,0,0,28,0,0,0,0,0,0,21332,22338,17878,13937,11827,13571,1
70000,0,0,1,0,0,1,0,0,39,0,0,0,0,0,-1,66775,69965,68938,14518,11096,830,0
50000,0,1,0,0,0,0,1,0,29,2,2,2,2,2,2,24987,21600,26591,23640,26467,28264,1
50000,1,0,1,0,0,1,0,0,46,0,0,0,-2,-2,-2,27718,29166,0,0,0,0,1
130000,1,0,1,0,0,1,0,0,51,-1,-1,-2,-2,-1,-1,99,0,0,-2353,2353,0,0
200000,0,1,0,0,0,1,0,0,57,-2,-2,-2,-1,2,2,152519,148751,135854,7874,8198,6918,1
10000,0,0,1,0,0,1,0,0,56,2,2,2,0,0,0,-203,4193,3828,3862,3996,4166,1
210000,1,1,0,0,0,0,1,0,30,2,-1,-1,-1,-1,-1,0,-859,-1121,1980,-3950,3341,0
130000,1,0,0,1,0,0,1,0,29,1,-2,-2,-1,2,-1,-190,-9850,-30011,10311,2842,-6580,0
20000,0,0,0,0,0,0,1,0,22,2,0,0,0,0,0,18565,16004,16285,17585,10205,5982,0
80000,0,1,0,0,0,0,1,0,31,-1,-1,-1,-1,-1,-1,780,-390,0,0,0,0,0
320000,0,0,1,0,0,0,1,0,29,2,2,2,2,2,2,55767,56746,60184,53822,59907,61926,1
200000,1,0,1,0,0,1,0,0,32,-1,-1,-1,-1,2,-1,3258,5772,-9786,5230,683,1756,0
290000,1,1,0,0,0,0,1,0,37,1,-2,-1,-1,-1,-1,0,-3155,3155,-2359,2359,0,0
340000,0,1,0,0,0,0,1,0,32,-1,-1,-1,-1,-1,-1,-2665,-17903,19023,-76261,54204,23804,0
20000,0,0,1,0,0,0,1,0,24,0,0,2,0,0,0,11769,17216,16032,16346,15832,18543,0
50000,0,0,0,1,0,0,1,0,25,-1,0,0,0,0,0,41079,35446,35767,9136,8590,9030,0
300000,1,1,0,0,0,1,0,0,45,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
30000,1,0,1,0,0,0,1,0,22,0,0,0,0,0,0,26701,28212,29766,25004,24681,6411,1
240000,1,0,1,0,0,0,1,0,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,1
470000,1,0,0,1,0,0,0,1,33,0,0,0,0,0,0,158854,150218,159702,68963,28271,26889,0
360000,1,1,0,0,0,0,1,0,26,0,0,0,0,0,-1,18615,24396,27300,-113800,179804,-2767,0
60000,0,0,0,1,0,0,1,0,30,0,0,0,0,0,0,24748,26258,27460,21225,18759,19771,1
400000,1,0,1,0,0,1,0,0,44,0,0,2,0,0,0,120895,139057,123769,101430,101790,91258,0
50000,1,0,0,1,0,0,1,0,49,0,0,0,0,0,0,47233,46561,20789,19715,18493,18656,0
160000,0,0,1,0,0,0,1,0,33,0,0,0,0,0,0,125628,104261,-8066,113918,113607,115918,0
360000,1,1,0,0,0,1,0,0,45,-1,-1,2,0,-1,-1,-780,1170,780,0,0,0,1
160000,1,0,1,0,0,0,1,0,32,0,0,0,0,0,-1,2679,2751,4604,8604,6306,-1537,0
130000,1,1,0,0,0,1,0,0,35,0,0,0,-1,-1,-1,41313,112866,16410,-5765,5905,-900,0
20000,0,0,0,1,0,0,1,0,44,2,2,0,0,0,2,8583,6652,8651,8488,12314,10470,0
200000,0,1,0,0,0,1,0,0,53,2,2,2,2,2,2,131880,135274,136960,138598,142124,144531,1
280000,1,1,0,0,0,0,1,0,39,-1,-1,-1,0,0,-2,7524,-3968,3968,3868,0,0,0
100000,1,1,0,0,0,0,1,0,27,-2,-2,-2,-2,-2,-2,-9555,5555,0,0,0,0,0
160000,1,0,1,0,0,1,0,0,37,-1,-1,-1,-1,-1,-2,-722,762,0,840,0,-7736,0
60000,1,0,1,0,0,0,1,0,23,0,0,0,0,0,0,43711,45549,46532,18905,18393,18488,0
90000,0,0,1,0,0,0,1,0,35,0,0,0,0,0,0,80104,82399,86474,34453,29838,29692,0
360000,0,1,0,0,0,1,0,0,43,-1,-1,-1,-1,-1,0,-4372,4928,-9508,-20549,26370,-59022,0
150000,0,1,0,0,0,0,1,0,27,0,0,0,0,0,0,81978,76102,85740,85735,86027,39988,0
50000,1,0,0,1,0,1,0,0,22,0,0,0,0,0,0,17311,16966,16618,12869,8545,7702,0
20000,0,0,1,0,0,1,0,0,38,0,0,0,0,0,-1,16274,17907,18933,16490,17778,150,1
140000,0,1,0,0,0,0,1,0,32,-2,-2,-2,-2,-2,-2,-9540,9362,435,315,-1330,1430,0
380000,1,1,0,0,0,0,1,0,30,-2,-2,-1,0,0,0,-304,-33481,31304,31694,32314,29056,0
480000,0,1,0,0,0,1,0,0,63,0,0,0,2,2,0,405991,375649,462432,487066,453145,445761,0
50000,1,0,0,1,0,0,1,0,22,0,0,0,0,0,0,42931,40892,37345,31656,22482,23190,1
60000,1,0,1,0,0,0,1,0,26,2,2,2,2,2,0,56685,50208,56664,60212,52447,52305,0
70000,1,0,1,0,0,0,1,0,24,-1,-1,-2,-2,-2,-1,5580,0,0,0,-26529,24529,0
80000,1,0,1,0,0,1,0,0,36,-1,-1,-1,-1,-1,-1,3247,-418,-42,2169,0,115,0
350000,0,1,0,0,0,0,1,0,52,-1,-1,-1,-1,-1,-1,-1559,1550,-145,-283,-4113,252,0
130000,0,0,1,0,0,0,1,0,38,0,0,0,-1,-1,-1,160530,178382,-93717,115917,-89714,121772,0
360000,0,0,1,0,0,1,0,0,35,1,-2,-2,-2,-2,-2,-103,-103,-103,-103,-103,-103,0
330000,1,1,0,0,0,1,0,0,31,0,0,2,0,0,0,96619,108431,102001,101796,90697,107289,0
50000,0,0,0,1,0,1,0,0,47,0,0,2,0,0,0,11244,13722,14181,14928,15671,16393,0
280000,0,0,1,0,0,1,0,0,41,2,2,2,2,2,3,129173,138532,120559,129551,152174,144415,0
100000,1,1,0,0,0,0,1,0,24,0,0,0,0,0,0,50128,50015,51401,50996,57100,57680,0
50000,0,0,1,0,0,0,1,0,41,0,0,0,0,0,0,17675,17989,19559,19556,19587,19273,0
30000,0,1,0,0,0,0,1,0,24,-1,2,0,0,3,2,18199,16306,15631,21319,19692,20201,1
240000,0,1,0,0,0,0,1,0,28,-1,-1,-1,-1,-1,-1,0,0,-5350,5200,150,-200,0
80000,0,0,1,0,0,0,1,0,26,2,0,0,0,0,0,12029,13793,15630,16055,16629,17186,1
400000,0,0,1,0,0,1,0,0,34,-1,-1,-1,-1,-1,-1,9983,-2201,4028,-6998,6878,2247,0
240000,1,0,1,0,0,0,1,0,38,0,0,0,0,-1,-1,48254,48445,50015,51172,104,640,0
50000,0,0,0,1,0,0,1,0,37,2,2,2,3,2,2,45004,41941,47953,47451,46518,51143,1
450000,0,1,0,0,0,1,0,0,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,1
110000,1,1,0,0,0,1,0,0,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0
310000,1,0,1,0,0,1,0,0,35,2,0,0,0,0,0,291972,300115,297907,250011,239658,192902,1
20000,0,1,0,0,0,0,1,0,27,0,0,0,0,0,0,17711,17832,18698,18517,19404,15630,0
20000,0,0,1,0,0,0,1,0,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0
200000,0,0,0,1,0,0,1,0,52,0,0,0,0,0,0,106583,95945,95349,97066,99477,101209,0
180000,0,1,0,0,0,1,0,0,36,0,0,0,0,0,0,159081,113732,97211,93624,95536,94927,1
50000,0,0,1,0,0,1,0,0,51,0,0,0,0,0,0,2347,2833,3203,3847,5175,6943,1
60000,0,0,0,1,0,1,0,0,55,3,2,2,0,0,0,58017,61443,56044,27653,28410,25047,0
30000,1,1,0,0,0,0,1,0,23,1,-2,-2,-2,-1,-1,-1645,2137,3481,-13798,7833,2882,0
240000,0,1,0,0,0,0,1,0,41,1,-1,-1,0,0,-1,-2527,-679,3301,2804,-1377,813,0
420000,0,0,1,0,0,1,0,0,34,0,0,0,0,0,0,243710,238190,221446,213121,203353,176782,0
330000,0,0,0,1,0,1,0,0,46,0,0,0,0,0,0,219179,220624,221619,219412,219384,220003,0
30000,1,0,1,0,0,0,1,0,22,0,0,0,0,0,0,26452,24745,26712,24850,17603,-2340,0
240000,0,0,1,0,0,1,0,0,34,0,0,0,2,2,2,9174,10235,13681,12269,14158,13564,0
150000,0,1,0,0,0,0,1,0,27,0,0,0,0,0,0,14944,16342,19000,21614,23700,25229,0
210000,1,0,1,0,0,1,0,0,33,0,0,0,0,0,0,5666,6497,7792,8689,2404,5162,0
50000,1,0,0,1,0,1,0,0,51,-1,-1,-1,-1,-2,-2,452,-5580,5880,0,0,0,1
50000,0,1,0,0,0,0,1,0,24,0,0,0,0,0,0,48441,48443,48586,18530,18505,16865,0
240000,0,1,0,0,0,0,1,0,47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,1
180000,0,0,1,0,0,0,1,0,28,-1,-1,-1,-1,-1,-1,1832,-416,500,-168,-3084,-416,0
50000,0,0,1,0,0,0,1,0,23,1,2,2,2,0,0,9131,833,20183,19296,19079,17465,0
170000,0,0,1,0,0,0,1,0,29,-2,-2,-2,-2,-2,-2,2159,0,0,17,-5880,5846,0
20000,0,1,0,0,0,0,1,0,29,-1,-1,-1,-1,0,-1,-14387,15242,-1996,-2362,6363,9,0
50000,0,1,0,0,0,0,1,0,28,0,0,0,0,0,3,3999,4413,5315,7612,9524,10138,0
170000,1,0,1,0,0,0,1,0,27,0,0,0,0,0,0,17608,19113,20501,17202,17736,9100,1
200000,0,1,0,0,0,0,1,0,34,1,2,0,0,0,0,189236,171192,37569,130668,127233,51375,0
80000,1,0,1,0,0,1,0,0,23,1,2,3,2,0,0,7518,10522,10205,9519,8032,12033,0
260000,1,1,0,0,0,1,0,0,60,1,-2,-1,-1,-1,-1,-1100,-23600,21400,-969,-31,869,0
140000,0,0,1,0,0,1,0,0,32,0,0,0,0,2,0,83172,75032,63336,64648,56219,52649,0
80000,0,1,0,0,0,0,1,0,25,0,0,0,0,0,0,12444,52744,37476,33087,39951,17826,0
350000,0,1,0,0,0,0,1,0,41,1,-1,-1,-1,-1,-2,-2698,1906,370,630,0,0,0
280000,1,0,1,0,0,1,0,0,56,0,0,0,0,0,0,200733,175650,127120,1783,170145,162990,0
30000,1,0,0,1,0,0,1,0,26,0,0,0,0,0,0,7314,8906,10427,10435,11584,12706,0
140000,0,1,0,0,0,1,0,0,34,0,0,0,0,0,0,18944,23049,20188,38129,44086,43195,0
200000,1,1,0,0,0,0,1,0,37,0,0,0,0,0,0,101420,99620,86393,87438,88945,89031,0
200000,1,0,0,1,0,0,1,0,30,0,0,0,0,0,0,188731,189035,181844,160963,141975,117824,0
210000,0,0,0,1,0,1,0,0,45,2,3,4,4,5,6,105307,112426,118769,126199,133855,143627,1
50000,0,0,0,1,0,1,0,0,57,3,2,0,0,0,0,12854,10762,12947,12927,13111,13483,0
30000,0,1,0,0,0,0,1,0,41,2,2,2,2,2,0,20857,27453,24518,28168,26379,27071,0
50000,0,0,1,0,0,0,1,0,27,2,-1,-1,-1,-1,2,0,-390,564,-648,1080,150,0
290000,0,0,0,1,0,1,0,0,47,-1,-1,-1,-1,0,-1,838,0,-396,792,-27,54,0
250000,1,1,0,0,0,1,0,0,34,0,0,2,0,0,0,123229,156858,146372,147147,149186,156300,0
60000,1,0,1,0,0,1,0,0,46,0,0,0,0,0,0,18148,22303,23408,25034,25155,26256,0
110000,1,1,0,0,0,0,1,0,27,0,0,0,0,0,0,96140,100895,101855,71837,73058,74454,0
370000,0,1,0,0,0,0,1,0,50,-2,-2,-2,-2,-2,-2,-9290,6926,-7209,10606,-8661,8754,0
100000,0,0,1,0,0,1,0,0,27,-1,2,2,0,0,0,99183,96847,57494,27938,22967,-50246,0
90000,1,0,1,0,0,1,0,0,35,0,0,0,0,0,2,68612,70354,71874,67317,81852,88290,0
50000,1,0,1,0,0,0,1,0,22,0,0,0,0,0,0,26530,27650,28384,26720,27041,28239,0
270000,0,0,1,0,0,0,1,0,37,0,0,0,0,0,0,32695,31397,27534,23598,23344,22641,0
300000,1,1,0,0,0,0,1,0,30,-1,-1,-1,-1,-1,-1,-2600,3280,-4340,1668,1872,54,0
50000,1,0,1,0,0,0,1,0,22,-1,0,0,0,0,0,-6433,14273,11501,7457,-1885,-2275,0
50000,1,1,0,0,0,0,1,0,24,1,-2,-2,-2,-2,-2,-709,-709,-709,-2898,-3272,-3272,1
360000,0,1,0,0,0,0,1,0,29,1,-2,-1,-1,-2,-2,0,-77,77,0,0,0,0
130000,0,0,0,1,0,1,0,0,56,1,2,2,2,2,3,61617,62978,64282,63057,72796,71345,1
80000,0,1,0,0,0,0,1,0,30,-2,-1,0,0,0,0,5683,-400,-400,938,-1581,5380,0
50000,0,0,1,0,0,0,1,0,30,1,2,0,0,0,2,48860,46301,47363,28221,22877,20361,0
20000,1,0,1,0,0,0,1,0,22,0,0,0,0,0,0,14789,11421,12721,11630,12534,13906,0
80000,1,0,1,0,0,1,0,0,29,0,0,2,0,0,0,72083,80811,79650,61067,9662,11486,0
240000,0,1,0,0,0,0,1,0,37,-1,-1,2,0,0,-1,-2788,26578,23331,26605,25023,-64679,0
80000,1,0,0,1,0,0,1,0,35,0,-1,0,0,0,0,37108,5912,11873,15364,14770,15460,0
500000,1,1,0,0,0,1,0,0,47,0,0,0,0,0,0,-13588,80259,80340,102967,56651,50064,0
60000,1,0,1,0,0,1,0,0,24,0,0,0,0,0,0,55524,56291,45839,17971,18586,17395,1
20000,0,0,1,0,0,0,1,0,25,0,0,0,0,0,-1,9442,10084,12469,12145,-209,1620,0
100000,1,0,1,0,0,1,0,0,38,1,2,0,0,2,0,14483,12361,13823,16268,14868,14948,1
360000,1,1,0,0,0,0,1,0,32,1,-1,-1,-1,-1,-1,-54471,51782,-63167,54556,-2369,-22073,0
200000,1,0,0,1,0,0,1,0,47,2,2,2,2,2,2,191222,195947,187136,189052,200162,183079,1
130000,1,0,1,0,0,1,0,0,34,1,-1,0,0,0,0,-5396,396,6770,13075,12864,12636,0
20000,1,0,1,0,0,0,1,0,31,1,5,4,4,3,2,21703,20087,21461,20835,19459,20487,0
310000,0,1,0,0,0,0,1,0,32,0,0,0,0,0,0,49881,56116,52045,60847,55327,39105,0
60000,1,1,0,0,0,0,1,0,27,2,0,0,0,2,0,18283,18683,19669,23005,21599,22027,1
180000,1,1,0,0,0,0,1,0,29,-1,-1,-1,-2,-1,0,11187,199,0,-17227,16886,11928,0
180000,1,1,0,0,0,0,1,0,24,-1,-1,2,0,0,-2,-23197,22087,21082,10200,0,0,0
50000,0,0,1,0,0,1,0,0,36,0,0,0,0,-1,-1,45790,17114,16250,-514,-928,-19353,0
50000,1,1,0,0,0,0,1,0,24,1,2,2,2,2,2,34266,35788,35980,36930,37628,40035,1
150000,1,0,1,0,0,1,0,0,34,-2,-2,-2,-2,-2,-2,0,0,-116,116,-1500,1500,0
20000,1,1,0,0,0,0,1,0,22,0,0,0,0,-1,0,17053,18414,18524,-11668,18175,18247,0
500000,1,1,0,0,0,1,0,0,34,-2,-2,-2,-1,-1,-1,274,-2161,1048,45,55,-14665,0
30000,1,0,0,1,0,0,1,0,22,1,2,2,0,0,0,28010,29171,26408,29732,1630,0,1
180000,1,1,0,0,0,1,0,0,38,-2,-2,-2,-2,-2,-2,750,0,0,0,0,0,0
140000,0,1,0,0,0,0,1,0,31,0,0,2,0,0,2,2123,27299,14985,12425,27407,8333,0
140000,1,1,0,0,0,0,1,0,26,-1,0,-1,-1,-1,-1,3424,4999,7160,-7688,13019,-6517,0
120000,0,0,1,0,0,0,1,0,26,0,0,0,0,0,0,102314,105578,109584,111000,114131,117135,0
360000,1,0,1,0,0,1,0,0,48,0,0,0,0,0,0,217330,224578,228392,184611,167957,142411,0
20000,0,0,0,1,0,1,0,0,43,-1,-1,0,0,0,0,-22132,19046,18979,17880,15993,17637,0
100000,0,1,0,0,0,1,0,0,47,-1,-1,-1,-1,-1,-1,-1083,1083,0,0,390,-2380,0
210000,1,0,1,0,0,1,0,0,41,-1,-1,-1,-1,-1,-1,1502,1243,-3420,2886,877,-419,1
80000,1,0,1,0,0,0,1,0,24,0,0,0,0,0,0,78425,78554,77561,47552,47709,47768,1
330000,1,1,0,0,0,1,0,0,50,-1,-1,-1,-1,-2,-2,4527,1483,1152,1690,-1709,1451,0
220000,0,1,0,0,0,0,1,0,24,0,0,0,-1,-1,-1,100607,103867,103217,8303,-85632,85632,0
210000,1,1,0,0,0,1,0,0,38,1,-2,-1,0,-1,-1,0,-250,250,-666,-433,-8394,1
40000,1,0,0,1,0,1,0,0,43,0,0,0,0,0,0,36557,37397,36903,34707,31638,30339,0
30000,0,0,1,0,0,0,1,0,39,0,0,0,2,0,0,25311,25799,18388,11992,5736,7884,0
470000,0,0,1,0,0,0,1,0,27,2,2,2,2,0,0,283573,292319,307843,469494,294307,299592,0
30000,0,0,0,1,0,1,0,0,42,-1,-1,-1,-1,-1,2,0,0,150,-1230,1320,780,0
240000,1,0,1,0,0,1,0,0,36,1,-2,-2,-2,-2,-2,-946,-946,-946,-946,-946,-946,1
80000,0,0,1,0,0,0,1,0,36,2,0,0,0,0,0,76178,75001,75134,77016,72735,75245,0
110000,1,0,0,1,0,0,0,0,31,0,0,0,0,0,0,85989,79229,76288,70315,60818,54254,0
310000,1,1,0,0,0,0,1,0,38,-1,-1,-1,-1,-2,-2,-3118,4416,126,0,0,0,0
360000,1,1,0,0,0,1,0,0,40,2,2,2,0,0,0,93167,115468,106257,109690,113345,115538,1
330000,1,0,0,1,0,0,1,0,45,0,0,0,0,0,0,322808,322576,323411,321410,323547,318443,0
300000,1,0,1,0,0,0,1,0,35,0,0,0,0,0,0,279600,288262,188629,203827,198907,197508,0
320000,1,0,1,0,0,0,1,0,33,0,0,0,0,0,0,81611,75205,106480,63837,38760,29509,0
50000,1,0,0,1,0,0,1,0,37,1,3,2,0,0,0,52626,51513,47705,29394,29048,-635,1
170000,1,1,0,0,0,0,1,0,28,0,0,0,0,0,0,123840,126339,106400,120694,122403,123877,0
350000,0,0,0,1,0,1,0,0,44,-1,-1,-1,-1,-1,-2,579,822,1295,569,0,0,0
20000,0,0,1,0,0,1,0,0,37,0,0,0,0,0,0,14846,13511,18239,18092,17816,18393,0
50000,0,0,1,0,0,0,1,0,23,2,0,0,0,0,0,47357,46202,42112,20543,19359,17854,1
20000,1,0,0,1,0,0,1,0,24,1,2,0,0,0,0,19154,16832,16733,7530,1730,-3200,0
50000,1,1,0,0,0,0,1,0,24,0,0,0,0,0,0,32994,33794,29935,19182,9374,919,0
20000,0,0,1,0,0,0,1,0,23,1,2,0,0,2,0,20235,15932,15856,16875,12454,104,1
50000,0,0,1,0,0,1,0,0,26,0,0,-2,-1,-1,0,102800,0,-2624,-42943,43820,44557,0
190000,0,0,1,0,0,0,1,0,34,2,0,0,0,2,2,124801,126383,124379,142323,128002,147283,1
60000,1,0,1,0,0,1,0,0,33,0,0,0,0,0,0,56697,35069,19934,19973,19364,18822,0
80000,0,1,0,0,0,0,1,0,35,-1,-1,-1,-1,-1,-1,4005,-2876,5129,341,-18564,17524,0
150000,1,0,1,0,0,0,1,0,27,0,0,0,0,0,0,122902,108305,49981,43176,35823,26968,0
210000,1,1,0,0,0,0,1,0,31,-2,-2,-2,-2,-1,-1,1440,-7422,6529,-5189,3789,-1006,0
240000,1,0,0,1,0,1,0,0,50,0,0,0,0,0,0,224089,222519,206634,199642,202366,206980,1
140000,1,0,1,0,0,0,0,1,41,0,0,0,0,0,0,16346,19708,20742,18068,13409,13984,1
60000,1,1,0,0,0,0,1,0,28,1,2,2,-2,-2,-1,21501,20650,0,0,-2285,2285,0
50000,0,1,0,0,0,0,1,0,39,0,0,0,0,0,0,45374,45974,45630,48803,28789,13874,0
50000,1,0,1,0,0,0,1,0,27,0,0,0,0,0,0,24855,25974,27776,26790,27590,28299,0
180000,1,1,0,0,0,0,1,0,32,-1,-1,2,2,-1,-1,318,5853,2821,-2821,2821,-176,0
30000,1,1,0,0,0,0,1,0,40,-1,-1,2,2,2,2,-213,95,139,19,-41,19,0
20000,1,0,1,0,0,0,1,0,40,0,0,0,0,0,-2,18215,18193,17988,19575,0,0,0
250000,1,0,1,0,0,1,0,0,75,0,-1,-1,-1,-1,-1,51243,95,526,-4562,4778,-390,0
100000,1,0,1,0,0,0,1,0,27,0,0,0,0,0,0,35979,32658,28936,29187,28574,32904,0
330000,0,1,0,0,0,0,1,0,25,0,0,0,0,2,0,43636,41774,43083,51063,38427,22792,0
